umbral,precision,recall,accuracy,tp,fp,fn,tn
0.03304575756192207,0.6666666666666666,1.0,0.6666666666666666,320,160,0,0
0.050859841518104076,0.6680584551148225,1.0,0.66875,320,159,0,1
0.06867392547428608,0.6694560669456067,1.0,0.6708333333333333,320,158,0,2
0.08648800943046808,0.6736842105263158,1.0,0.6770833333333334,320,155,0,5
0.10430209338665009,0.6837606837606838,1.0,0.6916666666666667,320,148,0,12
0.12211617734283209,0.7032967032967034,1.0,0.71875,320,135,0,25
0.1399302612990141,0.7339449541284404,1.0,0.7583333333333333,320,116,0,44
0.1577443452551961,0.7881773399014779,1.0,0.8208333333333333,320,86,0,74
0.1755584292113781,0.8421052631578947,1.0,0.875,320,60,0,100
0.1933725131675601,0.9014084507042254,1.0,0.9270833333333334,320,35,0,125
0.2111865971237421,0.9273255813953488,0.996875,0.9458333333333333,319,25,1,135
0.2290006810799241,0.9573170731707317,0.98125,0.9583333333333334,314,14,6,146
0.2468147650361061,0.9650793650793651,0.95,0.94375,304,11,16,149
0.2646288489922881,0.9790940766550522,0.878125,0.90625,281,6,39,154
0.2824429329484701,0.9959677419354839,0.771875,0.8458333333333333,247,1,73,159
0.3002570169046521,1.0,0.56875,0.7125,182,0,138,160
0.3180711008608341,1.0,0.334375,0.55625,107,0,213,160
0.3358851848170161,1.0,0.15625,0.4375,50,0,270,160
0.3536992687731981,1.0,0.05,0.36666666666666664,16,0,304,160
0.37151335272938013,1.0,0.009375,0.33958333333333335,3,0,317,160
0.38932743668556213,1.0,0.003125,0.33541666666666664,1,0,319,160
