record_id,flags,notes
okr_kh_0068_view_01,sin_imagen_local,"Khipu KH0068 (UR1057, AS057)"
okr_kh_0082_view_01,sin_imagen_local,Khipu KH0082 (AS069)
okr_kh_0323_view_01,sin_imagen_local,Khipu KH0323 (UR087)
okr_kh_0328_view_01,sin_imagen_local,Khipu KH0328 (UR092)
par_1932_01_0005_photo_01,sin_imagen_local,Fragmento textil Paracas 1932.01.0005
par_1935_32_0212_photo_01,sin_imagen_local,Fragmentos de manto Paracas 1935.32.0212
par_xrf_em1932_01_0013e,sin_imagen_local;imagen_tecnica,Mapa XRF de muestra textil Paracas EM1932.01.0013.E
